Date of Week End,Candidate,Platform,Spend
1/5/2019,Donald Trump,Facebook,401993
1/5/2019,Donald Trump,Google,175000
1/5/2019,Elizabeth Warren,Facebook,52574
1/5/2019,Andrew Yang,Facebook,230
1/12/2019,Donald Trump,Google,837100
1/12/2019,Donald Trump,Facebook,726572
1/12/2019,Elizabeth Warren,Facebook,27612
1/12/2019,Elizabeth Warren,Google,10600
1/12/2019,Tulsi Gabbard,Google,4700
1/12/2019,John Delaney,Facebook,4223
1/12/2019,Tulsi Gabbard,Facebook,437
1/12/2019,Andrew Yang,Facebook,233
1/19/2019,Donald Trump,Facebook,561208
1/19/2019,Donald Trump,Google,330600
1/19/2019,Kirsten Gillibrand,Facebook,61794
1/19/2019,Kirsten Gillibrand,Google,35200
1/19/2019,Tulsi Gabbard,Facebook,24603
1/19/2019,Elizabeth Warren,Facebook,21383
1/19/2019,Tulsi Gabbard,Google,17100
1/19/2019,Elizabeth Warren,Google,16300
1/19/2019,John Delaney,Facebook,2623
1/26/2019,Kamala Harris,Facebook,194383
1/26/2019,Donald Trump,Facebook,103784
1/26/2019,Kamala Harris,Google,94400
1/26/2019,Donald Trump,Google,87300
1/26/2019,Tulsi Gabbard,Facebook,28425
1/26/2019,Kirsten Gillibrand,Facebook,27957
1/26/2019,Tulsi Gabbard,Google,23100
1/26/2019,Elizabeth Warren,Facebook,22729
1/26/2019,Elizabeth Warren,Google,20400
1/26/2019,Kirsten Gillibrand,Google,18400
1/26/2019,John Delaney,Facebook,1096
1/26/2019,Andrew Yang,Facebook,116
2/2/2019,Donald Trump,Facebook,229052
2/2/2019,Donald Trump,Google,163000
2/2/2019,Cory Booker,Facebook,102411
2/2/2019,Elizabeth Warren,Facebook,62211
2/2/2019,Kamala Harris,Google,58200
2/2/2019,Cory Booker,Google,48700
2/2/2019,Kamala Harris,Facebook,47603
2/2/2019,Elizabeth Warren,Google,15800
2/2/2019,Kirsten Gillibrand,Facebook,15528
2/2/2019,Tulsi Gabbard,Facebook,13393
2/2/2019,Kirsten Gillibrand,Google,8800
2/2/2019,Tulsi Gabbard,Google,2600
2/2/2019,John Delaney,Facebook,713
2/2/2019,Andrew Yang,Facebook,357
2/9/2019,Donald Trump,Facebook,516363
2/9/2019,Donald Trump,Google,162200
